transaction_id,date,sku_id,customer_id,location_id,units_sold,price,on_promotion,payment_method,channel
TXN100000,2024-01-01,P0000,CUST0087,L4,1,158.0,0,Card,Online
TXN100001,2024-01-01,P0000,CUST0185,L4,1,158.0,0,Cash,Online
TXN100002,2024-01-01,P0000,CUST0189,L4,1,158.0,0,UPI,Offline
TXN100003,2024-01-01,P0000,CUST0031,L2,1,158.0,0,Card,Online
TXN100004,2024-01-01,P0000,CUST0043,L2,1,158.0,0,Card,Online
TXN100005,2024-01-01,P0000,CUST0135,L4,1,158.0,0,Card,Online
TXN100006,2024-01-01,P0000,CUST0146,L3,1,158.0,0,Card,Online
TXN100007,2024-01-01,P0000,CUST0188,L5,1,158.0,0,Card,Offline
TXN100008,2024-01-01,P0000,CUST0134,L1,1,158.0,0,UPI,Offline
TXN100009,2024-01-01,P0000,CUST0016,L5,1,158.0,0,UPI,Offline
TXN100010,2024-01-01,P0000,CUST0110,L3,1,158.0,0,UPI,Offline
TXN100011,2024-01-01,P0000,CUST0117,L2,1,158.0,0,UPI,Online
TXN100012,2024-01-01,P0000,CUST0191,L3,1,158.0,0,Cash,Online
TXN100013,2024-01-01,P0000,CUST0194,L2,1,158.0,0,UPI,Online
TXN100014,2024-01-01,P0000,CUST0014,L4,1,158.0,0,UPI,Offline
TXN100015,2024-01-01,P0000,CUST0106,L5,1,158.0,0,UPI,Online
TXN100016,2024-01-01,P0000,CUST0187,L3,1,158.0,0,UPI,Offline
TXN100017,2024-01-01,P0000,CUST0195,L5,1,158.0,0,Cash,Offline
TXN100018,2024-01-01,P0000,CUST0196,L1,1,158.0,0,Cash,Offline
TXN100019,2024-01-01,P0000,CUST0108,L5,1,158.0,0,UPI,Offline
TXN100020,2024-01-01,P0001,CUST0029,L2,1,74.0,0,UPI,Online
TXN100021,2024-01-01,P0001,CUST0034,L1,1,74.0,0,Cash,Online
TXN100022,2024-01-01,P0001,CUST0000,L3,1,74.0,0,Card,Online
TXN100023,2024-01-01,P0001,CUST0175,L5,1,74.0,0,Cash,Online
TXN100024,2024-01-01,P0001,CUST0023,L5,1,74.0,0,Cash,Online
TXN100025,2024-01-01,P0001,CUST0186,L2,1,74.0,0,Card,Offline
TXN100026,2024-01-01,P0001,CUST0116,L4,1,74.0,0,Cash,Online
TXN100027,2024-01-01,P0001,CUST0189,L4,1,74.0,0,UPI,Offline
TXN100028,2024-01-01,P0001,CUST0180,L2,1,74.0,0,Card,Offline
TXN100029,2024-01-01,P0001,CUST0178,L1,1,74.0,0,UPI,Offline
TXN100030,2024-01-01,P0001,CUST0004,L4,1,74.0,0,Cash,Offline
TXN100031,2024-01-01,P0001,CUST0173,L2,1,74.0,0,Cash,Offline
TXN100032,2024-01-01,P0001,CUST0086,L2,1,74.0,0,Card,Offline
TXN100033,2024-01-01,P0001,CUST0064,L1,1,74.0,0,Card,Online
TXN100034,2024-01-01,P0001,CUST0031,L1,1,74.0,0,Cash,Online
TXN100035,2024-01-01,P0002,CUST0182,L4,1,141.0,0,Card,Offline
TXN100036,2024-01-01,P0002,CUST0029,L2,1,141.0,0,UPI,Online
TXN100037,2024-01-01,P0002,CUST0020,L4,1,141.0,0,Cash,Offline
TXN100038,2024-01-01,P0002,CUST0166,L3,1,141.0,0,UPI,Offline
TXN100039,2024-01-01,P0002,CUST0092,L2,1,141.0,0,UPI,Online
TXN100040,2024-01-01,P0002,CUST0023,L3,1,141.0,0,Card,Offline
TXN100041,2024-01-01,P0002,CUST0044,L2,1,141.0,0,Cash,Online
TXN100042,2024-01-01,P0002,CUST0127,L3,1,141.0,0,UPI,Online
TXN100043,2024-01-01,P0002,CUST0005,L5,1,141.0,0,Card,Online
TXN100044,2024-01-01,P0002,CUST0157,L2,1,141.0,0,Cash,Online
TXN100045,2024-01-01,P0002,CUST0002,L5,1,141.0,0,Card,Online
TXN100046,2024-01-01,P0002,CUST0145,L1,1,141.0,0,UPI,Online
TXN100047,2024-01-01,P0002,CUST0061,L2,1,141.0,0,Cash,Online
TXN100048,2024-01-01,P0002,CUST0063,L4,1,141.0,0,UPI,Online
TXN100049,2024-01-01,P0002,CUST0007,L5,1,141.0,0,Card,Offline
TXN100050,2024-01-01,P0002,CUST0138,L4,1,141.0,0,UPI,Offline
TXN100051,2024-01-01,P0002,CUST0006,L1,1,141.0,0,UPI,Offline
TXN100052,2024-01-01,P0002,CUST0192,L1,1,141.0,0,Cash,Offline
TXN100053,2024-01-01,P0002,CUST0181,L1,1,141.0,0,Cash,Online
TXN100054,2024-01-01,P0003,CUST0035,L3,1,99.0,0,UPI,Online
TXN100055,2024-01-01,P0003,CUST0164,L5,1,99.0,0,UPI,Online
TXN100056,2024-01-01,P0003,CUST0027,L4,1,99.0,0,Card,Online
TXN100057,2024-01-01,P0003,CUST0073,L4,1,99.0,0,Cash,Online
TXN100058,2024-01-01,P0003,CUST0131,L3,1,99.0,0,Cash,Online
TXN100059,2024-01-01,P0003,CUST0108,L5,1,99.0,0,UPI,Online
TXN100060,2024-01-01,P0003,CUST0035,L1,1,99.0,0,Cash,Offline
TXN100061,2024-01-01,P0003,CUST0060,L3,1,99.0,0,Cash,Online
TXN100062,2024-01-01,P0003,CUST0097,L2,1,99.0,0,Cash,Offline
TXN100063,2024-01-01,P0003,CUST0068,L4,1,99.0,0,Cash,Offline
TXN100064,2024-01-01,P0003,CUST0072,L2,1,99.0,0,Card,Offline
TXN100065,2024-01-01,P0003,CUST0169,L1,1,99.0,0,Cash,Online
TXN100066,2024-01-01,P0005,CUST0118,L4,1,201.0,0,Cash,Online
TXN100067,2024-01-01,P0005,CUST0069,L1,1,201.0,0,Card,Offline
TXN100068,2024-01-01,P0005,CUST0162,L5,1,201.0,0,Card,Offline
TXN100069,2024-01-01,P0005,CUST0180,L2,1,201.0,0,UPI,Online
TXN100070,2024-01-01,P0005,CUST0054,L3,1,201.0,0,Card,Offline
TXN100071,2024-01-01,P0005,CUST0124,L2,1,201.0,0,Cash,Offline
TXN100072,2024-01-01,P0005,CUST0127,L3,1,201.0,0,Cash,Offline
TXN100073,2024-01-01,P0005,CUST0182,L4,1,201.0,0,Cash,Online
TXN100074,2024-01-01,P0005,CUST0115,L1,1,201.0,0,Card,Offline
TXN100075,2024-01-01,P0005,CUST0195,L3,1,201.0,0,UPI,Online
TXN100076,2024-01-01,P0005,CUST0084,L3,1,201.0,0,Card,Online
TXN100077,2024-01-01,P0005,CUST0188,L2,1,201.0,0,Card,Online
TXN100078,2024-01-01,P0005,CUST0177,L4,1,201.0,0,UPI,Offline
TXN100079,2024-01-01,P0005,CUST0074,L5,1,201.0,0,UPI,Online
TXN100080,2024-01-01,P0005,CUST0053,L4,1,201.0,0,UPI,Online
TXN100081,2024-01-01,P0005,CUST0040,L2,1,201.0,0,Cash,Online
TXN100082,2024-01-01,P0005,CUST0016,L2,1,201.0,0,Cash,Offline
TXN100083,2024-01-01,P0006,CUST0159,L3,1,132.0,0,Card,Online
TXN100084,2024-01-01,P0007,CUST0063,L5,1,65.0,0,Card,Offline
TXN100085,2024-01-01,P0007,CUST0062,L2,1,65.0,0,Card,Offline
TXN100086,2024-01-01,P0007,CUST0119,L1,1,65.0,0,UPI,Online
TXN100087,2024-01-01,P0007,CUST0134,L4,1,65.0,0,Cash,Online
TXN100088,2024-01-01,P0007,CUST0007,L2,1,65.0,0,Cash,Online
TXN100089,2024-01-01,P0007,CUST0194,L4,1,65.0,0,Card,Offline
TXN100090,2024-01-01,P0007,CUST0051,L5,1,65.0,0,UPI,Offline
TXN100091,2024-01-01,P0007,CUST0174,L4,1,65.0,0,Cash,Online
TXN100092,2024-01-01,P0007,CUST0033,L1,1,65.0,0,Cash,Online
TXN100093,2024-01-01,P0007,CUST0003,L1,1,65.0,0,Cash,Online
TXN100094,2024-01-01,P0007,CUST0073,L2,1,65.0,0,Cash,Offline
TXN100095,2024-01-01,P0007,CUST0032,L1,1,65.0,0,UPI,Online
TXN100096,2024-01-01,P0007,CUST0118,L3,1,65.0,0,Card,Offline
TXN100097,2024-01-01,P0007,CUST0173,L2,1,65.0,0,Cash,Online
TXN100098,2024-01-01,P0007,CUST0026,L1,1,65.0,0,UPI,Online
TXN100099,2024-01-01,P0007,CUST0094,L2,1,65.0,0,Card,Offline
TXN100100,2024-01-01,P0007,CUST0161,L4,1,65.0,0,Cash,Offline
TXN100101,2024-01-01,P0007,CUST0129,L3,1,65.0,0,Cash,Offline
TXN100102,2024-01-01,P0007,CUST0128,L4,1,65.0,0,Card,Online
TXN100103,2024-01-01,P0007,CUST0008,L4,1,65.0,0,Card,Offline
TXN100104,2024-01-01,P0007,CUST0055,L3,1,65.0,0,UPI,Online
TXN100105,2024-01-01,P0007,CUST0142,L3,1,65.0,0,Card,Online
TXN100106,2024-01-01,P0008,CUST0085,L5,1,139.0,0,UPI,Offline
TXN100107,2024-01-01,P0008,CUST0085,L5,1,139.0,0,Card,Offline
TXN100108,2024-01-01,P0008,CUST0097,L2,1,139.0,0,Cash,Offline
TXN100109,2024-01-01,P0008,CUST0175,L1,1,139.0,0,UPI,Offline
TXN100110,2024-01-01,P0008,CUST0119,L2,1,139.0,0,UPI,Offline
TXN100111,2024-01-01,P0008,CUST0125,L4,1,139.0,0,Card,Offline
TXN100112,2024-01-01,P0008,CUST0191,L5,1,139.0,0,UPI,Online
TXN100113,2024-01-01,P0008,CUST0003,L5,1,139.0,0,Card,Offline
TXN100114,2024-01-01,P0008,CUST0035,L2,1,139.0,0,Cash,Online
TXN100115,2024-01-01,P0008,CUST0131,L5,1,139.0,0,Cash,Online
TXN100116,2024-01-01,P0008,CUST0147,L3,1,139.0,0,Card,Online
TXN100117,2024-01-01,P0008,CUST0190,L3,1,139.0,0,Card,Online
TXN100118,2024-01-01,P0008,CUST0021,L2,1,139.0,0,Card,Online
TXN100119,2024-01-01,P0008,CUST0183,L2,1,139.0,0,UPI,Online
TXN100120,2024-01-01,P0008,CUST0088,L1,1,139.0,0,Card,Online
TXN100121,2024-01-01,P0008,CUST0046,L4,1,139.0,0,Cash,Online
TXN100122,2024-01-01,P0008,CUST0008,L5,1,139.0,0,UPI,Online
TXN100123,2024-01-01,P0008,CUST0197,L1,1,139.0,0,UPI,Offline
TXN100124,2024-01-01,P0008,CUST0013,L3,1,139.0,0,UPI,Offline
TXN100125,2024-01-01,P0008,CUST0125,L3,1,139.0,0,UPI,Offline
TXN100126,2024-01-01,P0009,CUST0032,L2,1,264.0,0,UPI,Online
TXN100127,2024-01-01,P0009,CUST0191,L1,1,264.0,0,Card,Offline
TXN100128,2024-01-01,P0009,CUST0077,L1,1,264.0,0,Card,Online
TXN100129,2024-01-01,P0009,CUST0020,L5,1,264.0,0,UPI,Offline
TXN100130,2024-01-01,P0009,CUST0087,L2,1,264.0,0,UPI,Online
TXN100131,2024-01-01,P0009,CUST0114,L3,1,264.0,0,Cash,Offline
TXN100132,2024-01-01,P0009,CUST0067,L5,1,264.0,0,Cash,Online
TXN100133,2024-01-01,P0009,CUST0147,L3,1,264.0,0,UPI,Online
TXN100134,2024-01-01,P0009,CUST0042,L1,1,264.0,0,Card,Online
TXN100135,2024-01-01,P0009,CUST0159,L3,1,264.0,0,UPI,Online
TXN100136,2024-01-01,P0009,CUST0050,L5,1,264.0,0,Card,Online
TXN100137,2024-01-01,P0009,CUST0064,L5,1,264.0,0,Card,Offline
TXN100138,2024-01-01,P0010,CUST0198,L2,1,84.0,0,Card,Offline
TXN100139,2024-01-01,P0010,CUST0167,L1,1,84.0,0,Card,Online
TXN100140,2024-01-01,P0010,CUST0155,L1,1,84.0,0,Card,Offline
TXN100141,2024-01-01,P0010,CUST0097,L2,1,84.0,0,UPI,Online
TXN100142,2024-01-01,P0010,CUST0022,L4,1,84.0,0,Cash,Offline
TXN100143,2024-01-01,P0010,CUST0117,L1,1,84.0,0,UPI,Offline
TXN100144,2024-01-01,P0010,CUST0108,L4,1,84.0,0,UPI,Offline
TXN100145,2024-01-01,P0010,CUST0136,L4,1,84.0,0,UPI,Online
TXN100146,2024-01-01,P0010,CUST0011,L5,1,84.0,0,Cash,Online
TXN100147,2024-01-01,P0010,CUST0138,L3,1,84.0,0,Cash,Offline
TXN100148,2024-01-01,P0010,CUST0055,L3,1,84.0,0,UPI,Online
TXN100149,2024-01-01,P0011,CUST0113,L5,1,192.0,0,Card,Offline
TXN100150,2024-01-01,P0011,CUST0003,L1,1,192.0,0,UPI,Offline
TXN100151,2024-01-01,P0011,CUST0125,L5,1,192.0,0,Card,Online
TXN100152,2024-01-01,P0011,CUST0164,L5,1,192.0,0,Card,Online
TXN100153,2024-01-01,P0011,CUST0135,L3,1,192.0,0,UPI,Online
TXN100154,2024-01-01,P0011,CUST0191,L2,1,192.0,0,UPI,Offline
TXN100155,2024-01-01,P0011,CUST0132,L1,1,192.0,0,Cash,Offline
TXN100156,2024-01-01,P0011,CUST0056,L2,1,192.0,0,UPI,Offline
