date,sku_id,location_id,regular_price,promo_price,discount_percent,promo_type
2024-01-01,P0000,L3,158,158.0,0.0,BOGO
2024-01-01,P0001,L4,74,74.0,0.0,None
2024-01-01,P0002,L5,141,141.0,0.0,None
2024-01-01,P0003,L1,99,99.0,0.0,Flat Off
2024-01-01,P0004,L4,125,81.74259997356322,34.60592002114943,Flat Off
2024-01-01,P0005,L4,201,201.0,0.0,Flat Off
2024-01-01,P0006,L1,132,132.0,0.0,Seasonal
2024-01-01,P0007,L1,65,65.0,0.0,Flat Off
2024-01-01,P0008,L4,139,139.0,0.0,Seasonal
2024-01-01,P0009,L5,264,264.0,0.0,Flat Off
2024-01-01,P0010,L2,84,84.0,0.0,BOGO
2024-01-01,P0011,L3,192,192.0,0.0,Seasonal
2024-01-01,P0012,L1,113,113.0,0.0,None
2024-01-01,P0013,L1,70,70.0,0.0,BOGO
2024-01-01,P0014,L1,156,79.10683304735669,49.29049163630982,Seasonal
2024-01-01,P0015,L2,185,185.0,0.0,None
2024-01-01,P0016,L2,291,291.0,0.0,None
2024-01-01,P0017,L2,155,155.0,0.0,None
2024-01-01,P0018,L3,184,184.0,0.0,Seasonal
2024-01-01,P0019,L1,183,183.0,0.0,BOGO
2024-01-01,P0020,L5,139,139.0,0.0,BOGO
2024-01-01,P0021,L4,102,102.0,0.0,BOGO
2024-01-01,P0022,L3,154,154.0,0.0,Flat Off
2024-01-01,P0023,L3,116,116.0,0.0,Seasonal
2024-01-01,P0024,L1,194,194.0,0.0,BOGO
2024-01-01,P0025,L5,157,157.0,0.0,None
2024-01-01,P0026,L3,183,183.0,0.0,BOGO
2024-01-01,P0027,L2,298,298.0,0.0,Seasonal
2024-01-01,P0028,L3,50,32.151654594537035,35.69669081092592,Flat Off
2024-01-01,P0029,L3,240,240.0,0.0,Seasonal
2024-01-01,P0030,L5,270,270.0,0.0,None
2024-01-01,P0031,L5,151,151.0,0.0,BOGO
2024-01-01,P0032,L4,83,83.0,0.0,None
2024-01-01,P0033,L1,150,150.0,0.0,BOGO
2024-01-01,P0034,L5,64,64.0,0.0,None
2024-01-01,P0035,L4,80,80.0,0.0,Flat Off
2024-01-01,P0036,L2,203,203.0,0.0,Flat Off
2024-01-01,P0037,L5,139,139.0,0.0,Flat Off
2024-01-01,P0038,L5,284,251.5572851107372,11.423491158191123,Flat Off
2024-01-01,P0039,L3,285,285.0,0.0,BOGO
2024-01-01,P0040,L3,86,86.0,0.0,None
2024-01-01,P0041,L1,130,130.0,0.0,BOGO
2024-01-01,P0042,L1,269,269.0,0.0,Flat Off
2024-01-01,P0043,L4,253,253.0,0.0,None
2024-01-01,P0044,L1,262,192.2882445611706,26.60754024382802,BOGO
2024-01-01,P0045,L3,219,219.0,0.0,Flat Off
2024-01-01,P0046,L4,124,124.0,0.0,BOGO
2024-01-01,P0047,L1,135,135.0,0.0,Flat Off
2024-01-01,P0048,L4,139,139.0,0.0,BOGO
2024-01-01,P0049,L1,231,231.0,0.0,BOGO
2024-01-02,P0000,L1,94,94.0,0.0,BOGO
2024-01-02,P0001,L2,250,145.52905476728196,41.78837809308722,Flat Off
2024-01-02,P0002,L5,246,211.9169354580208,13.854904285357406,Flat Off
2024-01-02,P0003,L3,250,250.0,0.0,None
2024-01-02,P0004,L2,247,247.0,0.0,Flat Off
2024-01-02,P0005,L3,206,206.0,0.0,None
2024-01-02,P0006,L5,275,149.3934240090606,45.67511854215979,None
2024-01-02,P0007,L5,99,99.0,0.0,Seasonal
2024-01-02,P0008,L1,192,192.0,0.0,Flat Off
2024-01-02,P0009,L3,207,207.0,0.0,None
2024-01-02,P0010,L2,82,82.0,0.0,BOGO
2024-01-02,P0011,L1,183,99.0563303595645,45.87085772701394,None
2024-01-02,P0012,L1,91,91.0,0.0,Flat Off
2024-01-02,P0013,L5,170,170.0,0.0,None
2024-01-02,P0014,L5,214,214.0,0.0,BOGO
2024-01-02,P0015,L1,248,248.0,0.0,Flat Off
2024-01-02,P0016,L2,209,209.0,0.0,Flat Off
2024-01-02,P0017,L4,158,158.0,0.0,Seasonal
2024-01-02,P0018,L2,182,182.0,0.0,None
2024-01-02,P0019,L5,102,102.0,0.0,Flat Off
2024-01-02,P0020,L4,164,164.0,0.0,None
2024-01-02,P0021,L1,234,234.0,0.0,Flat Off
2024-01-02,P0022,L1,174,174.0,0.0,None
2024-01-02,P0023,L2,227,227.0,0.0,Flat Off
2024-01-02,P0024,L2,243,243.0,0.0,Seasonal
2024-01-02,P0025,L2,182,133.47790757956747,26.660490340897,None
2024-01-02,P0026,L2,67,67.0,0.0,Flat Off
2024-01-02,P0027,L1,53,53.0,0.0,Flat Off
2024-01-02,P0028,L3,183,183.0,0.0,Seasonal
2024-01-02,P0029,L4,102,102.0,0.0,None
2024-01-02,P0030,L1,283,283.0,0.0,None
2024-01-02,P0031,L2,271,271.0,0.0,Seasonal
2024-01-02,P0032,L5,178,178.0,0.0,Flat Off
2024-01-02,P0033,L3,96,96.0,0.0,Seasonal
2024-01-02,P0034,L5,152,152.0,0.0,Flat Off
2024-01-02,P0035,L2,288,288.0,0.0,None
2024-01-02,P0036,L3,173,173.0,0.0,None
2024-01-02,P0037,L1,103,103.0,0.0,None
2024-01-02,P0038,L4,273,273.0,0.0,Seasonal
2024-01-02,P0039,L5,64,64.0,0.0,Seasonal
2024-01-02,P0040,L3,178,178.0,0.0,None
2024-01-02,P0041,L2,62,62.0,0.0,BOGO
2024-01-02,P0042,L5,298,298.0,0.0,BOGO
2024-01-02,P0043,L2,65,65.0,0.0,Seasonal
2024-01-02,P0044,L4,53,53.0,0.0,Seasonal
2024-01-02,P0045,L2,205,205.0,0.0,BOGO
2024-01-02,P0046,L3,290,290.0,0.0,Seasonal
2024-01-02,P0047,L5,243,243.0,0.0,BOGO
2024-01-02,P0048,L3,63,63.0,0.0,Flat Off
2024-01-02,P0049,L2,298,298.0,0.0,Flat Off
2024-01-03,P0000,L3,118,100.75893551610356,14.611071596522404,None
2024-01-03,P0001,L3,270,270.0,0.0,Flat Off
2024-01-03,P0002,L1,292,184.43004493746025,36.83902570634923,None
2024-01-03,P0003,L3,267,267.0,0.0,Flat Off
2024-01-03,P0004,L2,172,172.0,0.0,BOGO
2024-01-03,P0005,L1,167,167.0,0.0,BOGO
2024-01-03,P0006,L1,127,127.0,0.0,Seasonal
2024-01-03,P0007,L1,130,130.0,0.0,None
2024-01-03,P0008,L2,271,271.0,0.0,None
2024-01-03,P0009,L3,51,51.0,0.0,BOGO
2024-01-03,P0010,L4,132,70.07910146237256,46.90977161941471,BOGO
2024-01-03,P0011,L5,171,130.43631422091394,23.72145367198015,Flat Off
2024-01-03,P0012,L5,276,276.0,0.0,None
2024-01-03,P0013,L5,185,185.0,0.0,Seasonal
2024-01-03,P0014,L3,89,89.0,0.0,Seasonal
2024-01-03,P0015,L2,125,125.0,0.0,Seasonal
2024-01-03,P0016,L5,61,61.0,0.0,Seasonal
2024-01-03,P0017,L4,202,202.0,0.0,None
2024-01-03,P0018,L3,115,115.0,0.0,BOGO
2024-01-03,P0019,L2,179,179.0,0.0,BOGO
2024-01-03,P0020,L3,259,136.4397024433228,47.32057820721127,BOGO
2024-01-03,P0021,L2,278,141.33948863976934,49.15845732382398,Flat Off
2024-01-03,P0022,L4,144,144.0,0.0,Flat Off
2024-01-03,P0023,L2,164,164.0,0.0,Flat Off
2024-01-03,P0024,L3,100,100.0,0.0,None
2024-01-03,P0025,L5,152,152.0,0.0,Seasonal
2024-01-03,P0026,L5,232,232.0,0.0,Seasonal
2024-01-03,P0027,L5,53,53.0,0.0,None
2024-01-03,P0028,L2,75,75.0,0.0,None
2024-01-03,P0029,L4,71,71.0,0.0,Seasonal
2024-01-03,P0030,L4,86,86.0,0.0,None
2024-01-03,P0031,L3,56,56.0,0.0,Flat Off
2024-01-03,P0032,L1,271,226.71328407101836,16.341961597410194,BOGO
2024-01-03,P0033,L2,121,121.0,0.0,BOGO
2024-01-03,P0034,L4,215,215.0,0.0,None
2024-01-03,P0035,L1,82,82.0,0.0,Flat Off
2024-01-03,P0036,L2,83,83.0,0.0,Flat Off
2024-01-03,P0037,L4,284,284.0,0.0,BOGO
2024-01-03,P0038,L3,134,134.0,0.0,Seasonal
2024-01-03,P0039,L4,141,141.0,0.0,Flat Off
2024-01-03,P0040,L5,247,247.0,0.0,None
2024-01-03,P0041,L3,143,107.19776389197602,25.036528746869912,Seasonal
2024-01-03,P0042,L2,275,275.0,0.0,Seasonal
2024-01-03,P0043,L1,221,221.0,0.0,Flat Off
2024-01-03,P0044,L4,104,104.0,0.0,Seasonal
2024-01-03,P0045,L4,145,145.0,0.0,Flat Off
2024-01-03,P0046,L4,179,179.0,0.0,BOGO
2024-01-03,P0047,L4,72,72.0,0.0,None
2024-01-03,P0048,L5,237,237.0,0.0,BOGO
