date,sku_id,location_id,estimated_lost_sales
2024-01-01,SKU1025,LOC4,1
2024-01-01,SKU1044,LOC5,7
2024-01-02,SKU1000,LOC5,2
2024-01-02,SKU1025,LOC4,2
2024-01-02,SKU1044,LOC5,2
2024-01-02,SKU1056,LOC6,5
2024-01-02,SKU1097,LOC4,1
2024-01-02,SKU1103,LOC2,4
2024-01-03,SKU1001,LOC5,1
2024-01-03,SKU1006,LOC1,1
2024-01-03,SKU1017,LOC1,5
2024-01-03,SKU1025,LOC4,7
2024-01-03,SKU1080,LOC3,1
2024-01-03,SKU1086,LOC6,1
2024-01-03,SKU1093,LOC3,1
2024-01-03,SKU1094,LOC3,4
2024-01-04,SKU1006,LOC1,8
2024-01-04,SKU1014,LOC2,2
2024-01-04,SKU1017,LOC1,1
2024-01-04,SKU1021,LOC5,1
2024-01-04,SKU1025,LOC4,3
2024-01-04,SKU1027,LOC2,4
2024-01-04,SKU1041,LOC1,5
2024-01-04,SKU1063,LOC5,1
2024-01-04,SKU1077,LOC4,6
2024-01-04,SKU1090,LOC4,3
2024-01-04,SKU1091,LOC3,5
2024-01-04,SKU1093,LOC3,3
2024-01-04,SKU1094,LOC3,1
2024-01-04,SKU1108,LOC5,5
2024-01-05,SKU1001,LOC5,1
2024-01-05,SKU1006,LOC1,1
2024-01-05,SKU1010,LOC4,1
2024-01-05,SKU1014,LOC3,1
2024-01-05,SKU1022,LOC3,2
2024-01-05,SKU1044,LOC5,1
2024-01-05,SKU1060,LOC3,2
2024-01-05,SKU1077,LOC4,5
2024-01-05,SKU1083,LOC2,1
2024-01-05,SKU1093,LOC3,4
2024-01-05,SKU1094,LOC3,1
2024-01-05,SKU1113,LOC6,1
2024-01-06,SKU1000,LOC5,1
2024-01-06,SKU1001,LOC5,10
2024-01-06,SKU1006,LOC1,1
2024-01-06,SKU1008,LOC6,6
2024-01-06,SKU1009,LOC4,1
2024-01-06,SKU1009,LOC5,2
2024-01-06,SKU1014,LOC3,1
2024-01-06,SKU1018,LOC2,8
2024-01-06,SKU1021,LOC5,1
