Date,Product_Category,Product_Name,SKU_Code,Region,Units_Sold,Price_per_Unit,Revenue,Promotion_Flag,Festival_Season,Weather_Temp,Competitor_Price,Social_Sentiment,Month,Year,Day,Price_Diff,Outlier_Flag
2022-12-11,6,1,90,1,0.20454545454545456,0.034037558685446015,0.013993374818117084,No,0,176,0.04152637485970819,10,12,2022,11,-0.0074888161742621764,0
2021-08-23,11,51,30,4,0.29545454545454547,0.5293427230046949,0.2038326986780595,Yes,0,164,0.5656565656565657,106,8,2021,23,-0.036313842651870876,0
2024-10-24,4,19,75,2,0.13636363636363635,0.05164319248826291,0.012042970805857405,No,0,214,0.05387205387205387,38,10,2024,24,-0.002228861383790963,0
2024-02-08,10,61,69,3,0.22727272727272727,0.10093896713615023,0.035138231014519676,Yes,0,269,0.09876543209876543,174,2,2024,8,0.002173535037384808,0
2024-01-16,8,107,56,0,0.20454545454545456,0.8908450704225352,0.2399925698894771,Yes,0,112,0.9281705948372616,94,1,2024,16,-0.03732552441472636,0
2020-11-17,6,52,38,1,0.36363636363636365,0.14906103286384975,0.07770657255193339,Yes,0,202,0.1414141414141414,7,11,2020,17,0.007646891449708343,0
2023-02-27,13,97,40,0,0.5454545454545455,0.03169014084507042,0.03845082195597659,No,0,264,0.030303030303030304,42,2,2023,27,0.001387110542040118,0
2024-08-13,11,0,87,4,0.06818181818181818,0.5539906103286385,0.058450202780099686,No,0,152,0.5622895622895624,183,8,2024,13,-0.008298951960923895,0
2020-09-23,15,73,103,2,0.24999999999999997,0.13028169014084506,0.04792421287266648,No,0,257,0.13916947250280584,39,9,2020,23,-0.008887782361960778,0
2024-02-21,10,8,107,0,0.29545454545454547,0.3227699530516432,0.12755023064301413,No,0,230,0.287317620650954,175,2,2024,21,0.03545233240068918,0
2021-11-29,8,3,7,0,0.20454545454545456,0.7992957746478874,0.2158447106900715,No,0,311,0.840628507295174,93,11,2021,29,-0.04133273264728665,0
2023-11-13,4,19,75,1,0.06818181818181818,0.05164319248826291,0.005448747716788954,No,0,142,0.04713804713804714,89,11,2023,13,0.004505145350215768,0
2024-07-02,11,50,34,4,0.29545454545454547,0.5164319248826291,0.19906504442586917,No,0,78,0.5308641975308642,67,7,2024,2,-0.0144322726482351,0
2023-07-30,13,22,16,0,0.5681818181818182,0.6619718309859155,0.4723692764929878,No,0,134,0.6531986531986532,80,7,2023,30,0.008773177787262276,0
2023-08-17,15,45,44,1,0.18181818181818182,0.13028169014084506,0.03510727222067428,No,0,295,0.14590347923681257,125,8,2023,17,-0.015621789095967509,0
2024-05-07,4,79,58,2,0.22727272727272727,0.02699530516431925,0.013683786879663169,No,0,299,0.031425364758698095,144,5,2024,7,-0.004430059594378845,0
2025-07-09,4,4,86,4,0.5681818181818182,0.22300469483568075,0.17132596514039813,No,0,321,0.21885521885521886,76,7,2025,9,0.004149475980461892,0
2020-12-06,9,75,102,1,0.27272727272727276,0.147887323943662,0.058233491223181943,No,0,248,0.1425364758698092,108,12,2020,6,0.005350848073852804,0
2023-03-26,7,65,46,1,0.24999999999999997,0.0903755868544601,0.03529302498374663,No,0,217,0.08417508417508418,10,3,2023,26,0.006200502679375913,0
2024-08-05,11,50,34,1,0.36363636363636365,0.49765258215962443,0.2340175226773165,No,0,181,0.5342312008978676,129,8,2024,5,-0.03657861873824314,0
2021-09-18,7,72,8,4,0.1590909090909091,0.07511737089201878,0.019194452184142907,No,0,221,0.09539842873176207,84,9,2021,18,-0.020281057839743294,0
2021-08-27,4,18,101,3,0.27272727272727276,0.20422535211267606,0.07755177858270643,No,0,244,0.17845117845117844,174,8,2021,27,0.025774173661497618,0
2021-05-21,8,107,56,0,0.20454545454545456,0.8145539906103287,0.21986935388997245,Yes,0,239,0.9831649831649834,89,5,2021,21,-0.16861099255465462,0
2021-11-30,4,4,86,4,0.5681818181818182,0.21948356807511737,0.16891117922045756,No,0,226,0.1627384960718294,162,11,2021,30,0.05674507200328796,0
2024-05-22,5,74,61,1,0.1590909090909091,0.5352112676056339,0.11628122968329155,Yes,0,315,0.5780022446689114,176,5,2024,22,-0.0427909770632775,0
2023-09-14,6,42,19,1,0.022727272727272728,0.13262910798122068,0.005324912541407386,No,0,318,0.143658810325477,85,9,2023,14,-0.01102970234425632,0
2024-05-15,1,16,24,3,0.34090909090909094,0.028169014084507046,0.021918826042537382,No,0,278,0.024691358024691357,11,5,2024,15,0.0034776560598156897,0
